,id,category,car_make,car_model,car_year,section_width,aspect_ratio,rim_size,created_at,updated_at,width,diameter
43,44,SUV,TOYOTA,,2009,265,50,R20,2022-12-01 16:13:00,,265,R20
44,45,SUV,TOYOTA,,2009,275,45,R22,2022-12-01 16:13:00,,275,R22
45,46,SUV,TOYOTA,,2009,295,35,R24,2022-12-01 16:13:00,,295,R24
46,47,SUV,TOYOTA,,2008,265,70,R16,2022-12-01 16:13:00,,265,R16
47,48,SUV,TOYOTA,,2008,265,65,R17,2022-12-01 16:13:00,,265,R17
48,49,SUV,TOYOTA,,2008,265,60,R18,2022-12-01 16:13:00,,265,R18
49,50,SUV,TOYOTA,,2008,265,50,R20,2022-12-01 16:13:00,,265,R20
50,51,SUV,TOYOTA,,2008,275,45,R22,2022-12-01 16:13:00,,275,R22
51,52,SUV,TOYOTA,,2008,295,35,R24,2022-12-01 16:13:00,,295,R24
52,53,SUV,TOYOTA,,2007,265,70,R16,2022-12-01 16:13:00,,265,R16
53,54,SUV,TOYOTA,,2007,265,65,R17,2022-12-01 16:13:00,,265,R17
54,55,SUV,TOYOTA,,2007,265,60,R18,2022-12-01 16:13:00,,265,R18
55,56,SUV,TOYOTA,,2007,265,50,R20,2022-12-01 16:13:00,,265,R20
56,57,SUV,TOYOTA,,2007,275,45,R22,2022-12-01 16:13:00,,275,R22
57,58,SUV,TOYOTA,,2007,295,35,R24,2022-12-01 16:13:00,,295,R24
58,59,SUV,TOYOTA,,2006,265,70,R16,2022-12-01 16:13:00,,265,R16
59,60,SUV,TOYOTA,,2006,265,65,R17,2022-12-01 16:13:00,,265,R17
60,61,SUV,TOYOTA,,2006,265,60,R18,2022-12-01 16:13:00,,265,R18
61,62,SUV,TOYOTA,,2006,265,50,R20,2022-12-01 16:13:00,,265,R20
62,63,SUV,TOYOTA,,2006,275,45,R22,2022-12-01 16:13:00,,275,R22
63,64,SUV,TOYOTA,,2006,295,35,R24,2022-12-01 16:13:00,,295,R24
64,65,SUV,TOYOTA,,2005,265,70,R16,2022-12-01 16:13:00,,265,R16
65,66,SUV,TOYOTA,,2005,265,65,R17,2022-12-01 16:13:00,,265,R17
66,67,SUV,TOYOTA,,2005,265,60,R18,2022-12-01 16:13:00,,265,R18
67,68,SUV,TOYOTA,,2005,265,50,R20,2022-12-01 16:13:00,,265,R20
68,69,SUV,TOYOTA,,2005,275,45,R22,2022-12-01 16:13:00,,275,R22
69,70,SUV,TOYOTA,,2005,295,35,R24,2022-12-01 16:13:00,,295,R24
70,71,SUV,TOYOTA,,2004,265,70,R16,2022-12-01 16:13:00,,265,R16
71,72,SUV,TOYOTA,,2004,265,65,R17,2022-12-01 16:13:00,,265,R17
72,73,SUV,TOYOTA,,2004,265,60,R18,2022-12-01 16:13:00,,265,R18
73,74,SUV,TOYOTA,,2004,265,50,R20,2022-12-01 16:13:00,,265,R20
74,75,SUV,TOYOTA,,2004,275,45,R22,2022-12-01 16:13:00,,275,R22
75,76,SUV,TOYOTA,,2004,295,35,R24,2022-12-01 16:13:00,,295,R24
76,77,SUV,TOYOTA,,2003,265,70,R16,2022-12-01 16:13:00,,265,R16
77,78,SUV,TOYOTA,,2003,265,65,R17,2022-12-01 16:13:00,,265,R17
78,79,SUV,TOYOTA,,2003,265,60,R18,2022-12-01 16:13:00,,265,R18
79,80,SUV,TOYOTA,,2003,265,50,R20,2022-12-01 16:13:00,,265,R20
80,81,SUV,TOYOTA,,2003,275,45,R22,2022-12-01 16:13:00,,275,R22
81,82,SUV,TOYOTA,,2003,295,35,R24,2022-12-01 16:13:00,,295,R24
82,83,SUV,TOYOTA,,2002,225,75,R15,2022-12-01 16:13:00,,225,R15
83,84,SUV,TOYOTA,,2002,265,70,R16,2022-12-01 16:13:00,,265,R16
84,85,SUV,TOYOTA,,2002,265,70,R15,2022-12-01 16:13:00,,265,R15
85,86,SUV,TOYOTA,,2002,235,70,R16,2022-12-01 16:13:00,,235,R16
86,87,SUV,TOYOTA,,2002,245,70,R16,2022-12-01 16:13:00,,245,R16
87,88,SUV,TOYOTA,,2002,255,65,R16,2022-12-01 16:13:00,,255,R16
88,89,SUV,TOYOTA,,2002,275,60,R16,2022-12-01 16:13:00,,275,R16
89,90,SUV,TOYOTA,,2002,235,65,R17,2022-12-01 16:13:00,,235,R17
90,91,SUV,TOYOTA,,2002,255,55,R17,2022-12-01 16:13:00,,255,R17
91,92,SUV,TOYOTA,,2002,265,60,R17,2022-12-01 16:13:00,,265,R17
92,93,SUV,TOYOTA,,2002,265,60,R18,2022-12-01 16:13:00,,265,R18
93,94,SUV,TOYOTA,,2002,285,60,R18,2022-12-01 16:13:00,,285,R18
94,95,SUV,TOYOTA,,2002,285,55,R18,2022-12-01 16:13:00,,285,R18
95,96,SUV,TOYOTA,,2001,225,75,R15,2022-12-01 16:13:00,,225,R15
96,97,SUV,TOYOTA,,2001,265,70,R16,2022-12-01 16:13:00,,265,R16
97,98,SUV,TOYOTA,,2001,265,70,R15,2022-12-01 16:13:00,,265,R15
98,99,SUV,TOYOTA,,2001,235,70,R16,2022-12-01 16:13:00,,235,R16
99,100,SUV,TOYOTA,,2001,245,70,R16,2022-12-01 16:13:00,,245,R16
100,101,SUV,TOYOTA,,2001,255,65,R16,2022-12-01 16:13:00,,255,R16
101,102,SUV,TOYOTA,,2001,275,60,R16,2022-12-01 16:13:00,,275,R16
102,103,SUV,TOYOTA,,2001,235,65,R17,2022-12-01 16:13:00,,235,R17
103,104,SUV,TOYOTA,,2001,255,55,R17,2022-12-01 16:13:00,,255,R17
104,105,SUV,TOYOTA,,2001,265,60,R17,2022-12-01 16:13:00,,265,R17
105,106,SUV,TOYOTA,,2001,265,60,R18,2022-12-01 16:13:00,,265,R18
106,107,SUV,TOYOTA,,2001,285,60,R18,2022-12-01 16:13:00,,285,R18
107,108,SUV,TOYOTA,,2001,285,55,R18,2022-12-01 16:13:00,,285,R18
108,109,SUV,TOYOTA,,2000,225,75,R15,2022-12-01 16:13:00,,225,R15
109,110,SUV,TOYOTA,,2000,265,70,R16,2022-12-01 16:13:00,,265,R16
110,111,SUV,TOYOTA,,2000,265,70,R15,2022-12-01 16:13:00,,265,R15
111,112,SUV,TOYOTA,,2000,235,70,R16,2022-12-01 16:13:00,,235,R16
112,113,SUV,TOYOTA,,2000,245,70,R16,2022-12-01 16:13:00,,245,R16
113,114,SUV,TOYOTA,,2000,255,65,R16,2022-12-01 16:13:00,,255,R16
114,115,SUV,TOYOTA,,2000,275,60,R16,2022-12-01 16:13:00,,275,R16
115,116,SUV,TOYOTA,,2000,235,65,R17,2022-12-01 16:13:00,,235,R17
116,117,SUV,TOYOTA,,2000,255,55,R17,2022-12-01 16:13:00,,255,R17
117,118,SUV,TOYOTA,,2000,265,60,R17,2022-12-01 16:13:00,,265,R17
118,119,SUV,TOYOTA,,2000,265,60,R18,2022-12-01 16:13:00,,265,R18
119,120,SUV,TOYOTA,,2000,285,60,R18,2022-12-01 16:13:00,,285,R18
120,121,SUV,TOYOTA,,2000,285,55,R18,2022-12-01 16:13:00,,285,R18
121,122,SUV,TOYOTA,,1999,225,75,R15,2022-12-01 16:13:00,,225,R15
122,123,SUV,TOYOTA,,1999,265,70,R16,2022-12-01 16:13:00,,265,R16
123,124,SUV,TOYOTA,,1999,265,70,R15,2022-12-01 16:13:00,,265,R15
124,125,SUV,TOYOTA,,1999,235,70,R16,2022-12-01 16:13:00,,235,R16
125,126,SUV,TOYOTA,,1999,245,70,R16,2022-12-01 16:13:00,,245,R16
126,127,SUV,TOYOTA,,1999,255,65,R16,2022-12-01 16:13:00,,255,R16
127,128,SUV,TOYOTA,,1999,275,60,R16,2022-12-01 16:13:00,,275,R16
128,129,SUV,TOYOTA,,1999,235,65,R17,2022-12-01 16:13:00,,235,R17
129,130,SUV,TOYOTA,,1999,255,55,R17,2022-12-01 16:13:00,,255,R17
130,131,SUV,TOYOTA,,1999,265,60,R17,2022-12-01 16:13:00,,265,R17
131,132,SUV,TOYOTA,,1999,265,60,R18,2022-12-01 16:13:00,,265,R18
132,133,SUV,TOYOTA,,1999,285,60,R18,2022-12-01 16:13:00,,285,R18
133,134,SUV,TOYOTA,,1999,285,55,R18,2022-12-01 16:13:00,,285,R18
134,135,SUV,TOYOTA,,1998,225,75,R15,2022-12-01 16:13:00,,225,R15
135,136,SUV,TOYOTA,,1998,265,70,R16,2022-12-01 16:13:00,,265,R16
136,137,SUV,TOYOTA,,1998,265,70,R15,2022-12-01 16:13:00,,265,R15
137,138,SUV,TOYOTA,,1998,235,70,R16,2022-12-01 16:13:00,,235,R16
138,139,SUV,TOYOTA,,1998,245,70,R16,2022-12-01 16:13:00,,245,R16
139,140,SUV,TOYOTA,,1998,255,65,R16,2022-12-01 16:13:00,,255,R16
140,141,SUV,TOYOTA,,1998,275,60,R16,2022-12-01 16:13:00,,275,R16
141,142,SUV,TOYOTA,,1998,235,65,R17,2022-12-01 16:13:00,,235,R17
142,143,SUV,TOYOTA,,1998,255,55,R17,2022-12-01 16:13:00,,255,R17
143,144,SUV,TOYOTA,,1998,265,60,R17,2022-12-01 16:13:00,,265,R17
144,145,SUV,TOYOTA,,1998,265,60,R18,2022-12-01 16:13:00,,265,R18
145,146,SUV,TOYOTA,,1998,285,60,R18,2022-12-01 16:13:00,,285,R18
146,147,SUV,TOYOTA,,1998,285,55,R18,2022-12-01 16:13:00,,285,R18
147,148,SUV,TOYOTA,,1997,225,75,R15,2022-12-01 16:13:00,,225,R15
148,149,SUV,TOYOTA,,1997,265,70,R16,2022-12-01 16:13:00,,265,R16
149,150,SUV,TOYOTA,,1997,265,70,R15,2022-12-01 16:13:00,,265,R15
150,151,SUV,TOYOTA,,1997,235,70,R16,2022-12-01 16:13:00,,235,R16
151,152,SUV,TOYOTA,,1997,245,70,R16,2022-12-01 16:13:00,,245,R16
152,153,SUV,TOYOTA,,1997,255,65,R16,2022-12-01 16:13:00,,255,R16
153,154,SUV,TOYOTA,,1997,275,60,R16,2022-12-01 16:13:00,,275,R16
154,155,SUV,TOYOTA,,1997,235,65,R17,2022-12-01 16:13:00,,235,R17
155,156,SUV,TOYOTA,,1997,255,55,R17,2022-12-01 16:13:00,,255,R17
156,157,SUV,TOYOTA,,1997,265,60,R17,2022-12-01 16:13:00,,265,R17
157,158,SUV,TOYOTA,,1997,265,60,R18,2022-12-01 16:13:00,,265,R18
158,159,SUV,TOYOTA,,1997,285,60,R18,2022-12-01 16:13:00,,285,R18
159,160,SUV,TOYOTA,,1997,285,55,R18,2022-12-01 16:13:00,,285,R18
160,161,SUV,TOYOTA,,1996,225,75,R15,2022-12-01 16:13:00,,225,R15
161,162,SUV,TOYOTA,,1996,265,70,R16,2022-12-01 16:13:00,,265,R16
162,163,SUV,TOYOTA,,1996,265,70,R15,2022-12-01 16:13:00,,265,R15
163,164,SUV,TOYOTA,,1996,235,70,R16,2022-12-01 16:13:00,,235,R16
164,165,SUV,TOYOTA,,1996,245,70,R16,2022-12-01 16:13:00,,245,R16
165,166,SUV,TOYOTA,,1996,255,65,R16,2022-12-01 16:13:00,,255,R16
166,167,SUV,TOYOTA,,1996,275,60,R16,2022-12-01 16:13:00,,275,R16
167,168,SUV,TOYOTA,,1996,235,65,R17,2022-12-01 16:13:00,,235,R17
168,169,SUV,TOYOTA,,1996,255,55,R17,2022-12-01 16:13:00,,255,R17
169,170,SUV,TOYOTA,,1996,265,60,R17,2022-12-01 16:13:00,,265,R17
170,171,SUV,TOYOTA,,1996,265,60,R18,2022-12-01 16:13:00,,265,R18
171,172,SUV,TOYOTA,,1996,285,60,R18,2022-12-01 16:13:00,,285,R18
172,173,SUV,TOYOTA,,1996,285,55,R18,2022-12-01 16:13:00,,285,R18
173,174,SUV,TOYOTA,,1995,225,75,R15,2022-12-01 16:13:00,,225,R15
174,175,SUV,TOYOTA,,1995,265,70,R16,2022-12-01 16:13:00,,265,R16
175,176,SUV,TOYOTA,,1995,265,70,R15,2022-12-01 16:13:00,,265,R15
176,177,SUV,TOYOTA,,1995,235,70,R16,2022-12-01 16:13:00,,235,R16
177,178,SUV,TOYOTA,,1995,245,70,R16,2022-12-01 16:13:00,,245,R16
178,179,SUV,TOYOTA,,1995,255,65,R16,2022-12-01 16:13:00,,255,R16
179,180,SUV,TOYOTA,,1995,275,60,R16,2022-12-01 16:13:00,,275,R16
180,181,SUV,TOYOTA,,1995,235,65,R17,2022-12-01 16:13:00,,235,R17
181,182,SUV,TOYOTA,,1995,255,55,R17,2022-12-01 16:13:00,,255,R17
182,183,SUV,TOYOTA,,1995,265,60,R17,2022-12-01 16:13:00,,265,R17
183,184,SUV,TOYOTA,,1995,265,60,R18,2022-12-01 16:13:00,,265,R18
184,185,SUV,TOYOTA,,1995,285,60,R18,2022-12-01 16:13:00,,285,R18
185,186,SUV,TOYOTA,,1995,285,55,R18,2022-12-01 16:13:00,,285,R18
186,187,SUV,TOYOTA,,1994,225,75,R15,2022-12-01 16:13:00,,225,R15
187,188,SUV,TOYOTA,,1994,265,70,R16,2022-12-01 16:13:00,,265,R16
188,189,SUV,TOYOTA,,1993,225,75,R15,2022-12-01 16:13:00,,225,R15
189,190,SUV,TOYOTA,,1993,265,70,R16,2022-12-01 16:13:00,,265,R16
190,191,SUV,TOYOTA,,1992,225,75,R15,2022-12-01 16:13:00,,225,R15
191,192,SUV,TOYOTA,,1992,265,70,R16,2022-12-01 16:13:00,,265,R16
192,193,SUV,TOYOTA,,1991,225,75,R15,2022-12-01 16:13:00,,225,R15
193,194,SUV,TOYOTA,,1991,265,70,R16,2022-12-01 16:13:00,,265,R16
194,195,SUV,TOYOTA,,1990,225,75,R15,2022-12-01 16:13:00,,225,R15
195,196,SUV,TOYOTA,,1990,265,70,R16,2022-12-01 16:13:00,,265,R16
196,197,SUV,TOYOTA,,1989,225,75,R15,2022-12-01 16:13:00,,225,R15
197,198,SUV,TOYOTA,,1989,265,70,R16,2022-12-01 16:13:00,,265,R16
198,199,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2022,205,55,R16,2022-12-01 16:13:00,,205,R16
199,200,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2022,215,45,R17,2022-12-01 16:13:00,,215,R17
200,201,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2022,215,40,R18,2022-12-01 16:13:00,,215,R18
201,202,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2021,205,55,R16,2022-12-01 16:13:00,,205,R16
202,203,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2021,215,45,R17,2022-12-01 16:13:00,,215,R17
203,204,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2021,215,40,R18,2022-12-01 16:13:00,,215,R18
204,205,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2020,215,45,R17,2022-12-01 16:13:00,,215,R17
205,206,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2020,215,40,R18,2022-12-01 16:13:00,,215,R18
206,207,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2020,225,40,R18,2022-12-01 16:13:00,,225,R18
207,208,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2020,205,55,R16,2022-12-01 16:13:00,,205,R16
208,209,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2019,215,45,R17,2022-12-01 16:13:00,,215,R17
209,210,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2019,215,40,R18,2022-12-01 16:13:00,,215,R18
210,211,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2019,225,40,R18,2022-12-01 16:13:00,,225,R18
211,212,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2019,205,55,R16,2022-12-01 16:13:00,,205,R16
212,213,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2018,215,45,R17,2022-12-01 16:13:00,,215,R17
213,214,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2018,215,40,R18,2022-12-01 16:13:00,,215,R18
214,215,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2018,225,40,R18,2022-12-01 16:13:00,,225,R18
215,216,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2018,205,55,R16,2022-12-01 16:13:00,,205,R16
216,217,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2017,215,45,R17,2022-12-01 16:13:00,,215,R17
217,218,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2017,215,40,R18,2022-12-01 16:13:00,,215,R18
218,219,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2017,225,40,R18,2022-12-01 16:13:00,,225,R18
219,220,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2017,205,55,R16,2022-12-01 16:13:00,,205,R16
220,221,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2016,205,55,R16,2022-12-01 16:13:00,,205,R16
221,222,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2016,215,45,R17,2022-12-01 16:13:00,,215,R17
222,223,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2016,215,40,R18,2022-12-01 16:13:00,,215,R18
223,224,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2016,225,40,R18,2022-12-01 16:13:00,,225,R18
224,225,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2016,215,40,R17,2022-12-01 16:13:00,,215,R17
225,226,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2015,205,55,R16,2022-12-01 16:13:00,,205,R16
226,227,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2015,215,45,R17,2022-12-01 16:13:00,,215,R17
227,228,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2015,215,40,R18,2022-12-01 16:13:00,,215,R18
228,229,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2015,225,40,R18,2022-12-01 16:13:00,,225,R18
229,230,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2014,205,55,R16,2022-12-01 16:13:00,,205,R16
230,231,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2014,215,45,R17,2022-12-01 16:13:00,,215,R17
231,232,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2014,215,40,R18,2022-12-01 16:13:00,,215,R18
232,233,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2014,225,40,R18,2022-12-01 16:13:00,,225,R18
233,234,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2013,205,55,R16,2022-12-01 16:13:00,,205,R16
234,235,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2013,215,45,R17,2022-12-01 16:13:00,,215,R17
235,236,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2013,215,40,R18,2022-12-01 16:13:00,,215,R18
236,237,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2013,225,40,R18,2022-12-01 16:13:00,,225,R18
237,238,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2012,205,55,R16,2022-12-01 16:13:00,,205,R16
238,239,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2012,215,45,R17,2022-12-01 16:13:00,,215,R17
239,240,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2012,215,40,R18,2022-12-01 16:13:00,,215,R18
240,241,Sedan,TOYOTA,FT-86 G SPORTS CONCEPT,2012,225,40,R18,2022-12-01 16:13:00,,225,R18
241,242,Sedan,TOYOTA,SAGA,2022,175,65,R14,2022-12-01 16:13:00,,175,R14
242,243,Sedan,TOYOTA,SAGA,2022,155,80,R13,2022-12-01 16:13:00,,155,R13
243,244,Sedan,TOYOTA,SAGA,2022,175,55,R15,2022-12-01 16:13:00,,175,R15
244,245,Sedan,TOYOTA,SAGA,2021,175,65,R14,2022-12-01 16:13:00,,175,R14
245,246,Sedan,TOYOTA,SAGA,2021,155,80,R13,2022-12-01 16:13:00,,155,R13
246,247,Sedan,TOYOTA,SAGA,2021,175,55,R15,2022-12-01 16:13:00,,175,R15
247,248,Sedan,TOYOTA,SAGA,2020,175,65,R14,2022-12-01 16:13:00,,175,R14
248,249,Sedan,TOYOTA,SAGA,2020,155,80,R13,2022-12-01 16:13:00,,155,R13
249,250,Sedan,TOYOTA,SAGA,2020,175,55,R15,2022-12-01 16:13:00,,175,R15
250,251,Sedan,TOYOTA,SAGA,2020,185,55,R15,2022-12-01 16:13:00,,185,R15
251,252,Sedan,TOYOTA,SAGA,2019,175,65,R14,2022-12-01 16:13:00,,175,R14
252,253,Sedan,TOYOTA,SAGA,2019,155,80,R13,2022-12-01 16:13:00,,155,R13
253,254,Sedan,TOYOTA,SAGA,2019,175,55,R15,2022-12-01 16:13:00,,175,R15
254,255,Sedan,TOYOTA,SAGA,2019,185,55,R15,2022-12-01 16:13:00,,185,R15
255,256,Sedan,TOYOTA,SAGA,2018,175,65,R14,2022-12-01 16:13:00,,175,R14
256,257,Sedan,TOYOTA,SAGA,2018,155,80,R13,2022-12-01 16:13:00,,155,R13
257,258,Sedan,TOYOTA,SAGA,2018,175,55,R15,2022-12-01 16:13:00,,175,R15
258,259,Sedan,TOYOTA,SAGA,2018,185,55,R15,2022-12-01 16:13:00,,185,R15
259,260,Sedan,TOYOTA,SAGA,2017,155,80,R13,2022-12-01 16:13:00,,155,R13
260,261,Sedan,TOYOTA,SAGA,2017,175,65,R14,2022-12-01 16:13:00,,175,R14
261,262,Sedan,TOYOTA,SAGA,2017,175,55,R15,2022-12-01 16:13:00,,175,R15
262,263,Sedan,TOYOTA,SAGA,2016,155,80,R13,2022-12-01 16:13:00,,155,R13
263,264,Sedan,TOYOTA,SAGA,2016,175,65,R14,2022-12-01 16:13:00,,175,R14
264,265,Sedan,TOYOTA,SAGA,2015,155,80,R13,2022-12-01 16:13:00,,155,R13
265,266,Sedan,TOYOTA,SAGA,2015,175,65,R14,2022-12-01 16:13:00,,175,R14
266,267,Sedan,TOYOTA,SAGA,2014,155,80,R13,2022-12-01 16:13:00,,155,R13
267,268,Sedan,TOYOTA,SAGA,2014,175,65,R14,2022-12-01 16:13:00,,175,R14
268,269,Sedan,TOYOTA,SAGA,2013,155,80,R13,2022-12-01 16:13:00,,155,R13
269,270,Sedan,TOYOTA,SAGA,2013,175,65,R14,2022-12-01 16:13:00,,175,R14
270,271,Sedan,TOYOTA,ALLION,2021,185,65,R15,2022-12-01 16:13:00,,185,R15
271,272,Sedan,TOYOTA,ALLION,2021,195,65,R15,2022-12-01 16:13:00,,195,R15
272,273,Sedan,TOYOTA,ALLION,2021,195,55,R16,2022-12-01 16:13:00,,195,R16
273,274,Sedan,TOYOTA,ALLION,2021,205,55,R16,2022-12-01 16:13:00,,205,R16
274,275,Sedan,TOYOTA,ALLION,2020,185,65,R15,2022-12-01 16:13:00,,185,R15
275,276,Sedan,TOYOTA,ALLION,2020,195,65,R15,2022-12-01 16:13:00,,195,R15
276,277,Sedan,TOYOTA,ALLION,2020,195,55,R16,2022-12-01 16:13:00,,195,R16
277,278,Sedan,TOYOTA,ALLION,2020,205,55,R16,2022-12-01 16:13:00,,205,R16
278,279,Sedan,TOYOTA,ALLION,2019,185,65,R15,2022-12-01 16:13:00,,185,R15
279,280,Sedan,TOYOTA,ALLION,2019,195,65,R15,2022-12-01 16:13:00,,195,R15
280,281,Sedan,TOYOTA,ALLION,2019,195,55,R16,2022-12-01 16:13:00,,195,R16
281,282,Sedan,TOYOTA,ALLION,2018,185,65,R15,2022-12-01 16:13:00,,185,R15
282,283,Sedan,TOYOTA,ALLION,2018,195,55,R16,2022-12-01 16:13:00,,195,R16
283,284,Sedan,TOYOTA,ALLION,2017,185,65,R15,2022-12-01 16:13:00,,185,R15
284,285,Sedan,TOYOTA,ALLION,2017,195,55,R16,2022-12-01 16:13:00,,195,R16
285,286,Sedan,TOYOTA,ALLION,2016,195,65,R15,2022-12-01 16:13:00,,195,R15
